Status,Customer Age,Dependents,Tenure,Total Relationship Count,Months Inactive,Contacts Made,Credit Limit,Total Revolving Balance,Average Revolving Available,Trans Amount Change,Total Trans Amount,Total Trans Count,Trans Count Change,Avg Utilization Ratio,Attrited,Gender_male,Education_College,Education_Doctorate,Education_Graduate,Education_High School,Education_Post-Graduate,Education_Uneducated,Education_Unknown,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Marital Status_Unknown,Income Level Code,Card Level_Blue,Card Level_Gold,Card Level_Platinum,Card Level_Silver,Avg Trans Amount,Avg Months between Contacts,Contacts per Relationship,Trans Amt per Credit Limit,Trans Count per Credit Limit,Total Rev Bal to Credit Limit,Avail Rev Bal to Credit Limit,Trans Amt to Count Change,Contacts per Inactive Mo
Existing Customer,45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,27.238095238095237,9.75,0.6,0.09014262075486565,0.003309431880860452,0.061224489795918366,0.9387755102040817,0.8215384615384616,3.0
Existing Customer,49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,39.121212121212125,14.666666666666666,0.3333333333333333,0.15637112403100775,0.003997093023255814,0.10465116279069768,0.8953488372093024,0.4149165320409262,2.0
Existing Customer,51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,94.35,36.0,0.0,0.5520772381509654,0.005851375073142188,0.0,1.0,1.1118731247321045,0.0
Existing Customer,40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,58.55,17.0,0.3333333333333333,0.353456082100815,0.006036824630244492,0.7597343797162692,0.24026562028373075,0.6022288898414059,0.25
Existing Customer,40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,29.142857142857142,21.0,0.0,0.17302798982188294,0.005937234944868533,0.0,1.0,0.8699999999999999,0.0
Existing Customer,44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,45.333333333333336,12.0,0.6666666666666666,0.2713216957605985,0.0059850374064837905,0.3109725685785536,0.6890274314214464,1.6264775413711583,2.0
Existing Customer,51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,0,42.903225806451616,11.5,0.5,0.038532854328427395,0.0008981341986325183,0.06559276857109746,0.9344072314289026,2.7354570637119116,3.0
Existing Customer,32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.7140000000000001,0.048,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,42.72222222222222,9.0,1.0,0.05288676455417626,0.001237921667067845,0.0480038513118531,0.9519961486881469,3.086834733893557,1.0
Existing Customer,37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,56.25,36.0,0.0,0.06039727988546886,0.0010737294201861132,0.11260737294201861,0.8873926270579814,2.8384094754653133,0.0
Existing Customer,48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.14400000000000002,0,1,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,45.03125,9.0,0.5,0.12362731640356897,0.002745367192862045,0.14387439945092656,0.8561256005490734,1.727891156462585,1.0
